日期,代码,名称,年管理费率,年托管费率,最新收盘价,60日均线,价格与60日均线关系,均线穿越,周MACD_DIF,周MACD_DEA,周MACD柱,MACD柱转向
2026-02-12,159227,华夏国证航天航空行业ETF,0.50%,0.10%,1.453,1.3352,≥ 60日均线,,0.0972,0.0771,0.0401,
2026-02-12,561980,招商中证半导体产业ETF,0.50%,0.10%,2.296,2.1444,≥ 60日均线,,0.1946,0.1844,0.0204,
2026-02-12,560510,泰康中证A500ETF,0.15%,0.05%,1.225,1.1781,≥ 60日均线,,0.0425,0.0421,0.0009,
2026-02-12,512930,平安人工智能ETF,0.15%,0.05%,2.285,2.2093,≥ 60日均线,,0.146,0.1563,-0.0206,
2026-02-12,159246,富国创业板人工智能ETF,0.40%,0.05%,2.159,1.8967,≥ 60日均线,,,,,
2026-02-12,159629,富国中证1000ETF,0.15%,0.05%,3.425,3.1868,≥ 60日均线,,0.1512,0.1335,0.0354,
2026-02-12,560090,汇添富中证全指证券公司ETF,0.50%,0.10%,1.27,1.2931,< 60日均线,,-0.0,0.0084,-0.0169,
2026-02-12,511270,海富通上证10年期地方政府债ETF,0.15%,0.05%,117.879,117.3105,≥ 60日均线,,0.0789,-0.0135,0.1849,
2026-02-12,562060,华宝标普中国A股红利机会ETF,0.50%,0.10%,0.664,0.6278,≥ 60日均线,,-0.0445,-0.0684,0.0479,
2026-02-12,515660,国联安沪深300ETF,0.30%,0.05%,5.861,5.7409,≥ 60日均线,,0.1535,0.1732,-0.0394,
2026-02-12,516010,国泰中证动漫游戏ETF,0.50%,0.10%,1.625,1.4883,≥ 60日均线,,0.0665,0.0576,0.0179,
2026-02-12,159780,南方中证科创创业50ETF,0.50%,0.10%,0.939,0.9235,≥ 60日均线,,0.056,0.0653,-0.0185,
2026-02-12,159559,景顺长城国证机器人产业ETF,0.50%,0.10%,1.433,1.3752,≥ 60日均线,,0.0421,0.0414,0.0015,
2026-02-12,159623,博时成渝经济圈ETF,0.15%,0.05%,1.043,1.0285,≥ 60日均线,,0.0289,0.0348,-0.0117,
2026-02-12,515000,华宝中证科技龙头ETF,0.50%,0.10%,1.039,1.0084,≥ 60日均线,,-0.0505,-0.0697,0.0383,
2026-02-12,561330,国泰中证有色金属矿业主题ETF,0.50%,0.10%,2.296,1.9954,≥ 60日均线,,0.2409,0.2099,0.0621,
2026-02-12,516780,华泰柏瑞中证稀土产业ETF,0.50%,0.10%,2.056,1.8159,≥ 60日均线,,0.1428,0.1332,0.0192,
2026-02-12,511010,国泰上证5年期国债ETF,0.15%,0.05%,140.791,140.431,≥ 60日均线,,-0.0812,-0.1239,0.0855,
2026-02-12,588800,华夏上证科创板100ETF,0.15%,0.05%,1.532,1.3963,≥ 60日均线,,0.1024,0.0913,0.0222,
2026-02-12,159307,博时中证红利低波100ETF,0.15%,0.05%,1.083,1.0751,≥ 60日均线,,0.0014,0.0027,-0.0025,
2026-02-12,588380,富国中证科创创业50ETF,0.50%,0.10%,0.96,0.9442,≥ 60日均线,,0.0578,0.0671,-0.0186,
2026-02-12,159959,银华中证央企结构调整ETF,0.15%,0.05%,1.679,1.5984,≥ 60日均线,,0.0428,0.0356,0.0144,
2026-02-12,159232,南方中证全指自由现金流ETF,0.15%,0.05%,1.349,1.2798,≥ 60日均线,,0.0568,0.0524,0.009,
2026-02-12,513550,华泰柏瑞中证港股通50ETF,0.50%,0.10%,1.191,1.1804,≥ 60日均线,,0.0197,0.0233,-0.0071,
2026-02-12,159967,华夏创成长ETF,0.50%,0.10%,0.62,0.6207,< 60日均线,,0.0272,0.0322,-0.01,
2026-02-12,516510,易方达中证云计算与大数据主题ETF,0.15%,0.05%,1.897,1.7463,≥ 60日均线,,0.1228,0.1135,0.0185,
2026-02-12,159235,大成中证全指自由现金流ETF,0.15%,0.05%,1.368,1.2891,≥ 60日均线,,0.0608,0.0548,0.012,
2026-02-12,159998,天弘中证计算机ETF,0.50%,0.10%,1.112,1.0435,≥ 60日均线,,0.0315,0.0268,0.0095,
2026-02-12,159339,银华中证A500ETF,0.15%,0.05%,1.26,1.2103,≥ 60日均线,,0.0464,0.0461,0.0007,
2026-02-12,563880,汇添富中证A500ETF,0.15%,0.05%,1.289,1.2397,≥ 60日均线,,0.0472,0.047,0.0005,
2026-02-12,159985,华夏饲料豆粕期货ETF,0.50%,0.10%,1.989,1.9709,≥ 60日均线,,0.0048,0.0035,0.0026,
2026-02-12,512040,富国中证价值ETF,0.60%,0.10%,1.259,1.1762,≥ 60日均线,,0.0516,0.0451,0.013,
2026-02-12,589010,华夏上证科创板人工智能ETF,0.50%,0.10%,1.639,1.4546,≥ 60日均线,,0.0923,0.0803,0.0241,
